Title,Price,Area,address,type,area_value,price_value_trieu,price_per_m2_final,House_number,Street,Ward,District,City,progress,cleaned_street
CHO THUÊ XƯỞNG MẶT TIỀN KP3 PHƯỜNG TRẢNG DÀI TP BIÊN HÒA,Giá: 25 triệu/tháng,Diện tích: 130 m²,"bàu cát 8, Phường 11, Quận Tân Bình, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,130.0,25.0,192307.6923076923,8,Đường Bàu Cát,Phường 11,Quận Tân Bình,Hồ Chí Minh,True,Đường Bàu Cát
GÓC 2MT BÀU CÁT 8 TÂN BÌNH 7X18M GIÁ 25TR KD SẦM UẤT,Giá: 13 triệu/tháng,Diện tích: 32 m²,"Đường Lũy Bán Bích, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,32.0,13.0,406250.0,,Đường Lũy Bán Bích,Phường Tân Thành,Quận Tân Phú,Hồ Chí Minh,True,Đường Lũy Bán Bích
MT LŨY BÁN BÍCH 2 LẦU FULL NỘI THẤT NGAY ĐÈN ĐỎ LỀ 4M 13TR,Giá: 100 triệu,Diện tích: 330 m²,"Đường 3 Tháng 2, Phường 8, Quận 10, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,330.0,100.0,303030.30303030304,8,Đường 3 Tháng 2,Phường 12,Quận 10,Hồ Chí Minh,True,Đường Đường 3 Tháng 2
CHO THUÊ TOÀ NHÀ VĂN PHÒNG MT NGANG 10M ĐƯỜNG 3/2 QUẬN 10,Giá: 180 triệu,Diện tích: 504 m²,"Nguyễn Thị Minh Khai, Phường 2, Quận 3, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,504.0,180.0,357142.8571428572,2,Đường Nguyễn Thị Minh Khai,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Thị Minh Khai
"CHO THUÊ MẶT TIỀN NGUYỄN THỊ MINH KHAI, QUẬN 3 ( 8M X 21M )",Giá: 110 triệu,Diện tích: 500 m²,"Ngô Văn Năm, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,500.0,110.0,220000.0,,Đường Ngô Văn Năm,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True,Đường Ngô Văn Năm
"SIÊU VỊ TRÍ - NHÀ ĐẮC ĐỊA MT NGÔ VĂN NĂM, P BẾN NGHÉ, Q1, CHỈ 110TR/TH",Giá: 16 triệu/tháng,Diện tích: 90 m²,"Khu Văn Cao_Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,90.0,16.0,177777.77777777778,,Nguyễn Sơn,Phường Phú Thọ Hòa,Quận Tân Phú,Hồ Chí Minh,True,Đường Nguyễn Sơn
"MTNB KHU VĂN CAO_ NGUYỄN SƠN, 4.5X20M","Giá: 6,5 triệu/tháng",Diện tích: 30 m²,"14, Đường Số 59, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,30.0,6.5,216666.66666666663,14,Đường 59,Phường 14,Quận Gò Vấp,Hồ Chí Minh,True,Đường 59
"KIOT MỚI XÂY CÓ GÁC, KHU CHỢ THẠCH ĐÀ 6TR5 CĂN",Giá: 28 triệu/tháng,Diện tích: 40 m²,"Bàn Cờ, Phường 3, Quận 3, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,40.0,28.0,700000.0,,Bàn Cờ,Phường 3,Quận 3,Hồ Chí Minh,True,Đường Bàn Cờ
"CHO THUÊ NHÀ MẶT TIỀN ĐƯỜNG BÀN CỜ, QUẬN 3, GIÁ THUÊ CHỈ 28TR/THÁNG",Giá: 22 triệu/tháng,Diện tích: 44 m²,"Dự án RichStar, Đường Hòa Bình, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,44.0,22.0,500000.0,,Đường Hòa Bình,Phường Hiệp Tân,Quận Tân Phú,Hồ Chí Minh,True,Đường Hòa Bình
"CHO THUÊ CĂN MẶT TIỀN KINH DOANH TẠI CHUNG CƯ RICHSTAR 1, RS2, RS3, VIEW TÔ HIỆU HƯỚNG ĐÔNG NAM",Giá: 170 triệu,Diện tích: 250 m²,"Lê Thánh Tôn, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,250.0,170.0,680000.0,,Đường Lê Thánh Tôn,Phường Bến Thành,Quận 1,Hồ Chí Minh,True,Đường Lê Thánh Tôn
"NHÀ MẶT TIỀN LÊ THÁNH TÔN ĐỐI DIỆN CHỢ BẾN THÀNH, “DT 5X20M”-GIÁ 170TR",Giá: 28 triệu/tháng,Diện tích: 200 m²,"Nguyễn Đình Chiểu, Phường 3, Quận 3, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,200.0,28.0,140000.0,,Hẻm 491/5 Nguyễn Đình Chiểu,Phường 2,Quận 3,Hồ Chí Minh,True,Đường Nguyễn Đình Chiểu
"MT NGUYỄN ĐÌNH CHIỂU, QUẬN 3. ĐƯỜNG 2 CHIỀU TRUNG TÂM. SIÊU HOT",Giá: 7 triệu/tháng,Diện tích: 225 m²,"426, Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,225.0,7.0,31111.11111111111,,Đường Nguyễn Phước Nguyên,Phường An Khê,Quận Thanh Khê,Đà Nẵng,True,Đường Nguyễn Phước Nguyên
CHO THUÊ NGUYÊN CĂN NHÀ MẶT TIỀN 426 NGUYỄN PHƯỚC NGUYÊN GIÁ 7TR,Giá: 59 triệu/tháng,Diện tích: 400 m²,"Sư Vạn Hạnh, Phường 12, Quận 10, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,400.0,59.0,147500.0,,Sư Vạn Hạnh,Phường 12,Quận 10,Hồ Chí Minh,True,Đường Sư Vạn Hạnh
"CHO THUÊ MẶT TIỀN SƯ VẠN HẠNH QUẬN 10, SẦM UẤT NHỘN NHỊP",Giá: 30 triệu/tháng,Diện tích: 80 m²,"Đường Lê Văn Sỹ, Phường 13, Quận Phú Nhuận, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,80.0,30.0,375000.0,,Đường Lê Văn Sỹ,Phường 13,Quận Phú Nhuận,Hồ Chí Minh,True,Đường Lê Văn Sỹ
CHO THUÊ MẶT BẰNG MẶT TIỀN LÊ VĂN SỸ. 4X20M GIÁ: 30 TRIỆU,Giá: 21 triệu/tháng,Diện tích: 150 m²,"Đường Phú Diễn, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,150.0,21.0,140000.0,,Đường Phúc Diễn,Phường Cầu Diễn,Quận Nam Từ Liêm,Hà Nội,True,Đường Phúc Diễn
"CHÍNH CHỦ CHO THUÊ MBKD PHÚ DIỄN, NAM TỪ LIÊM",Giá: 18 triệu/tháng,Diện tích: 61 m²,"Dự án Vinhomes West Point, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,61.0,18.0,295081.9672131148,,,Phường Mễ Trì,Quận Nam Từ Liêm,Hà Nội,True,Đường 
CHÍNH CHỦ CHO THUÊ SẢNH THƯƠNG MẠI T1 W1 VINHOMES,Giá: 33 triệu/tháng,Diện tích: 450 m²,"Võ Văn Kiệt, Phường An Hòa, Quận Ninh Kiều, Cần Thơ",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,450.0,33.0,73333.33333333333,,Đường Võ Văn Kiệt,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True,Đường Võ Văn Kiệt
"SANG QUÁN NHẬU MẶT TIỀN ĐƯỜNG VÕ VĂN KIỆT, NGANG 15M, QUÁN MỚI 100%",Giá: 14 triệu/tháng,Diện tích: 60 m²,"Thọ Tháp, Dịch Vọng Hậu",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,60.0,14.0,233333.3333333333,,Phố Thọ Tháp,Phường Dịch Vọng,Quận Cầu Giấy,Hà Nội,True,Phố Thọ Tháp
"CẦN CHUYỂN NHƯỢNG QUÁN CAFE, BÁN THÊM BÁNH MÌ PATE TẠI DỊCH VỌNG HẬU, CẦU GIẤY.",Giá: 50 triệu/tháng,Diện tích: 1700 m²,"Gần Đường Hoàng Văn Bổn, Phường Tân Hòa, Thành phố Biên Hòa, Đồng Nai",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,1700.0,50.0,29411.764705882357,,Đường Hoàng Văn Bổn,Phường Tân Hòa,Biên Hòa,Đồng Nai,True,Đường Hoàng Văn Bổn
CHO THUÊ XƯỞNG GÓC 2 MT 1700M2 GẦN ĐƯỜNG HOÀNG VĂN BỔN PHƯỜNG TÂN HOÀ,Giá: 45 triệu/tháng,Diện tích: 100 m²,"Đường Nguyễn Thị Thập, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,100.0,45.0,450000.0,,Đường Nguyễn Thị Thập,Phường Tân Phong,Quận 7,Hồ Chí Minh,True,Đường Nguyễn Thị Thập
MT LŨY BÁN BÍCH 2 LẦU FULL NỘI THẤT NGAY ĐÈN ĐỎ LỀ 4M 13TR,Giá: 180 triệu,Diện tích: 504 m²,"Nguyễn Thị Minh Khai, Phường 2, Quận 3, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,504.0,180.0,357142.8571428572,2,Đường Nguyễn Thị Minh Khai,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Thị Minh Khai
"CHO THUÊ MẶT TIỀN NGUYỄN THỊ MINH KHAI, QUẬN 3 ( 8M X 21M )",Giá: 100 triệu,Diện tích: 330 m²,"Đường 3 Tháng 2, Phường 8, Quận 10, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,330.0,100.0,303030.30303030304,8,Đường 3 Tháng 2,Phường 12,Quận 10,Hồ Chí Minh,True,Đường Đường 3 Tháng 2
CHO THUÊ TOÀ NHÀ VĂN PHÒNG MT NGANG 10M ĐƯỜNG 3/2 QUẬN 10,Giá: 110 triệu,Diện tích: 500 m²,"Ngô Văn Năm, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,500.0,110.0,220000.0,,Đường Ngô Văn Năm,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True,Đường Ngô Văn Năm
"SIÊU VỊ TRÍ - NHÀ ĐẮC ĐỊA MT NGÔ VĂN NĂM, P BẾN NGHÉ, Q1, CHỈ 110TR/TH",Giá: 180 triệu,Diện tích: 504 m²,"Nguyễn Thị Minh Khai, Phường 2, Quận 3, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,504.0,180.0,357142.8571428572,2,Đường Nguyễn Thị Minh Khai,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Thị Minh Khai
"CHO THUÊ MẶT TIỀN NGUYỄN THỊ MINH KHAI, QUẬN 3 ( 8M X 21M )",Giá: 16 triệu/tháng,Diện tích: 90 m²,"Khu Văn Cao_Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,90.0,16.0,177777.77777777778,,Nguyễn Sơn,Phường Phú Thọ Hòa,Quận Tân Phú,Hồ Chí Minh,True,Đường Nguyễn Sơn
CHÍNH CHỦ CHO THUÊ SẢNH THƯƠNG MẠI T1 W1 VINHOMES,Giá: 14 triệu/tháng,Diện tích: 60 m²,"Thọ Tháp, Dịch Vọng Hậu",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,60.0,14.0,233333.3333333333,,Phố Thọ Tháp,Phường Dịch Vọng,Quận Cầu Giấy,Hà Nội,True,Phố Thọ Tháp
"CẦN CHUYỂN NHƯỢNG QUÁN CAFE, BÁN THÊM BÁNH MÌ PATE TẠI DỊCH VỌNG HẬU, CẦU GIẤY.",Giá: 33 triệu/tháng,Diện tích: 450 m²,"Võ Văn Kiệt, Phường An Hòa, Quận Ninh Kiều, Cần Thơ",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,450.0,33.0,73333.33333333333,,Đường Võ Văn Kiệt,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True,Đường Võ Văn Kiệt
"SANG QUÁN NHẬU MẶT TIỀN ĐƯỜNG VÕ VĂN KIỆT, NGANG 15M, QUÁN MỚI 100%",Giá: 50 triệu/tháng,Diện tích: 1700 m²,"Gần Đường Hoàng Văn Bổn, Phường Tân Hòa, Thành phố Biên Hòa, Đồng Nai",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,1700.0,50.0,29411.764705882357,,Đường Hoàng Văn Bổn,Phường Tân Hòa,Biên Hòa,Đồng Nai,True,Đường Hoàng Văn Bổn
"MT NGUYỄN ĐÌNH CHIỂU, QUẬN 3. ĐƯỜNG 2 CHIỀU TRUNG TÂM. SIÊU HOT",Giá: 59 triệu/tháng,Diện tích: 400 m²,"Sư Vạn Hạnh, Phường 12, Quận 10, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,400.0,59.0,147500.0,,Sư Vạn Hạnh,Phường 12,Quận 10,Hồ Chí Minh,True,Đường Sư Vạn Hạnh
"CHO THUÊ MẶT TIỀN SƯ VẠN HẠNH QUẬN 10, SẦM UẤT NHỘN NHỊP",Giá: 7 triệu/tháng,Diện tích: 225 m²,"426, Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,225.0,7.0,31111.11111111111,,Đường Nguyễn Phước Nguyên,Phường An Khê,Quận Thanh Khê,Đà Nẵng,True,Đường Nguyễn Phước Nguyên
CHO THUÊ NGUYÊN CĂN NHÀ MẶT TIỀN 426 NGUYỄN PHƯỚC NGUYÊN GIÁ 7TR,Giá: 30 triệu/tháng,Diện tích: 80 m²,"Đường Lê Văn Sỹ, Phường 13, Quận Phú Nhuận, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,80.0,30.0,375000.0,,Đường Lê Văn Sỹ,Phường 13,Quận Phú Nhuận,Hồ Chí Minh,True,Đường Lê Văn Sỹ
CHO THUÊ XƯỞNG GÓC 2 MT 1700M2 GẦN ĐƯỜNG HOÀNG VĂN BỔN PHƯỜNG TÂN HOÀ,Giá: 14 triệu/tháng,Diện tích: 60 m²,"Thọ Tháp, Dịch Vọng Hậu",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,60.0,14.0,233333.3333333333,,Phố Thọ Tháp,Phường Dịch Vọng,Quận Cầu Giấy,Hà Nội,True,Phố Thọ Tháp
"CẦN CHUYỂN NHƯỢNG QUÁN CAFE, BÁN THÊM BÁNH MÌ PATE TẠI DỊCH VỌNG HẬU, CẦU GIẤY.",Giá: 45 triệu/tháng,Diện tích: 100 m²,"Đường Nguyễn Thị Thập, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,100.0,45.0,450000.0,,Đường Nguyễn Thị Thập,Phường Tân Phong,Quận 7,Hồ Chí Minh,True,Đường Nguyễn Thị Thập
"CHO THUÊ CĂN MẶT TIỀN KINH DOANH TẠI CHUNG CƯ RICHSTAR 1, RS2, RS3, VIEW TÔ HIỆU HƯỚNG ĐÔNG NAM",Giá: 28 triệu/tháng,Diện tích: 200 m²,"Nguyễn Đình Chiểu, Phường 3, Quận 3, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,200.0,28.0,140000.0,,Hẻm 491/5 Nguyễn Đình Chiểu,Phường 2,Quận 3,Hồ Chí Minh,True,Đường Nguyễn Đình Chiểu
"MT NGUYỄN ĐÌNH CHIỂU, QUẬN 3. ĐƯỜNG 2 CHIỀU TRUNG TÂM. SIÊU HOT",Giá: 170 triệu,Diện tích: 250 m²,"Lê Thánh Tôn, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,250.0,170.0,680000.0,,Đường Lê Thánh Tôn,Phường Bến Thành,Quận 1,Hồ Chí Minh,True,Đường Lê Thánh Tôn
"NHÀ MẶT TIỀN LÊ THÁNH TÔN ĐỐI DIỆN CHỢ BẾN THÀNH, “DT 5X20M”-GIÁ 170TR",Giá: 7 triệu/tháng,Diện tích: 225 m²,"426, Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,225.0,7.0,31111.11111111111,,Đường Nguyễn Phước Nguyên,Phường An Khê,Quận Thanh Khê,Đà Nẵng,True,Đường Nguyễn Phước Nguyên
"NHÀ MẶT TIỀN LÊ THÁNH TÔN ĐỐI DIỆN CHỢ BẾN THÀNH, “DT 5X20M”-GIÁ 170TR",Giá: 59 triệu/tháng,Diện tích: 400 m²,"Sư Vạn Hạnh, Phường 12, Quận 10, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,400.0,59.0,147500.0,,Sư Vạn Hạnh,Phường 12,Quận 10,Hồ Chí Minh,True,Đường Sư Vạn Hạnh
MT LŨY BÁN BÍCH 2 LẦU FULL NỘI THẤT NGAY ĐÈN ĐỎ LỀ 4M 13TR,Giá: 110 triệu,Diện tích: 500 m²,"Ngô Văn Năm, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,500.0,110.0,220000.0,,Đường Ngô Văn Năm,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True,Đường Ngô Văn Năm
CHO THUÊ TOÀ NHÀ VĂN PHÒNG MT NGANG 10M ĐƯỜNG 3/2 QUẬN 10,Giá: 16 triệu/tháng,Diện tích: 90 m²,"Khu Văn Cao_Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,90.0,16.0,177777.77777777778,,Nguyễn Sơn,Phường Phú Thọ Hòa,Quận Tân Phú,Hồ Chí Minh,True,Đường Nguyễn Sơn
"CHO THUÊ CỬA HÀNG, KI ỐT TẠI VIỆT NAM",Giá: 19 triệu/tháng,Diện tích: 40 m²,"Trần Quốc Thảo, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,40.0,19.0,475000.0,,Đường Trần Quốc Thảo,Phường Võ Thị Sáu,Quận 3,Hồ Chí Minh,True,Đường Trần Quốc Thảo
"MẶT BẰNG KINH DOANH RIÊNG BIỆT MẶT TIỀN TRẦN QUỐC THẢO, QUẬN 3, 40M2",Giá: 20 triệu/tháng,Diện tích: 225 m²,"Đường Mai Văn Vĩnh, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,225.0,20.0,88888.88888888889,,Đường Mai Văn Vĩnh,Phường Tân Quy,Quận 7,Hồ Chí Minh,True,Đường Mai Văn Vĩnh
"SIÊU VỊ TRÍ - NHÀ ĐẮC ĐỊA MT NGÔ VĂN NĂM, P BẾN NGHÉ, Q1, CHỈ 110TR/TH",Giá: 100 triệu,Diện tích: 330 m²,"Đường 3 Tháng 2, Phường 8, Quận 10, Tp Hồ Chí Minh",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,330.0,100.0,303030.30303030304,8,Đường 3 Tháng 2,Phường 12,Quận 10,Hồ Chí Minh,True,Đường Đường 3 Tháng 2
CHÍNH CHỦ CHO THUÊ SẢNH THƯƠNG MẠI T1 W1 VINHOMES,Giá: 50 triệu/tháng,Diện tích: 1700 m²,"Gần Đường Hoàng Văn Bổn, Phường Tân Hòa, Thành phố Biên Hòa, Đồng Nai",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,1700.0,50.0,29411.764705882357,,Đường Hoàng Văn Bổn,Phường Tân Hòa,Biên Hòa,Đồng Nai,True,Đường Hoàng Văn Bổn
CHO THUÊ XƯỞNG GÓC 2 MT 1700M2 GẦN ĐƯỜNG HOÀNG VĂN BỔN PHƯỜNG TÂN HOÀ,Giá: 33 triệu/tháng,Diện tích: 450 m²,"Võ Văn Kiệt, Phường An Hòa, Quận Ninh Kiều, Cần Thơ",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,450.0,33.0,73333.33333333333,,Đường Võ Văn Kiệt,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True,Đường Võ Văn Kiệt
"CHO THUÊ CỬA HÀNG, KI ỐT TẠI VIỆT NAM","Giá: 7,5 triệu/tháng",Diện tích: 35 m²,"Huỳnh Thúc Kháng, Nguyên Hồng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",search?iCat=55&iCitId=0&iDisId=0&iWardId=0&iPrice=0&keyword=&page=,35.0,7.5,214285.7142857143,,Đường Huỳnh Thúc Kháng,Phường Láng Hạ,Quận Đống Đa,Hà Nội,True,Đường Huỳnh Thúc Kháng
